Month,US,NE,MW,S,W
1/1/12,3.583,3.902,3.888,3.757,3.18
2/1/12,3.52,3.902,3.902,3.733,3.12
3/1/12,3.499,3.902,3.861,3.71,3.104
4/1/12,3.474,3.902,3.782,3.707,3.061
5/1/12,3.427,3.902,3.742,3.688,3.034
6/1/12,3.396,3.902,3.698,3.75,2.979
7/1/12,3.428,3.923,3.708,3.756,3.044
8/1/12,3.474,3.9,3.717,3.756,3.144
9/1/12,3.469,3.951,3.701,3.715,3.153
10/1/12,3.524,3.957,3.894,3.718,3.181
11/1/12,3.536,3.956,3.237,3.777,3.538
12/1/12,3.58,3.958,3.281,3.811,3.608
1/1/13,3.526,3.888,3.267,3.796,3.529
2/1/13,3.48,3.67,3.251,3.73,3.423
3/1/13,3.431,3.734,3.162,3.682,3.417
4/1/13,3.428,3.66,3.237,3.808,3.267
5/1/13,3.441,3.696,3.144,3.87,3.229
6/1/13,3.458,3.654,3.09,3.817,3.264
7/1/13,3.449,3.689,3.077,3.844,3.228
8/1/13,3.448,3.67,3.056,3.837,3.288
9/1/13,3.428,3.617,3.005,3.859,3.22
10/1/13,3.462,3.624,3.029,3.914,3.282
11/1/13,3.491,3.624,3.172,3.913,3.151
12/1/13,3.501,3.624,3.216,3.875,3.159
1/1/14,3.552,3.624,3.311,3.94,3.19
2/1/14,3.561,3.624,3.342,4.01,3.144
3/1/14,3.669,3.624,3.322,4.079,3.362
4/1/14,3.687,3.624,3.382,4.05,3.35
5/1/14,3.735,3.624,3.31,4.171,3.382
6/1/14,3.626,3.414,3.204,4.119,3.214
7/1/14,3.645,3.404,3.174,4.089,3.327
8/1/14,3.673,3.449,3.273,4.082,3.362
9/1/14,3.732,3.479,3.371,4.139,3.387
10/1/14,3.766,3.481,3.389,4.243,3.389
11/1/14,3.858,3.545,3.451,4.192,3.81
12/1/14,3.82,3.592,3.297,4.153,3.8
1/1/15,3.758,3.611,3.373,4.045,3.693
2/1/15,3.496,3.544,3.062,3.944,3.255
3/1/15,3.463,3.564,2.983,3.872,3.239
4/1/15,3.397,3.585,2.871,3.795,3.218
5/1/15,3.387,3.515,2.953,3.758,3.15
6/1/15,3.366,3.527,2.835,3.868,3.095
7/1/15,3.43,3.574,3.018,3.875,3.15
8/1/15,3.389,3.559,2.991,3.827,3.097
9/1/15,3.392,3.563,2.925,3.909,3.1
10/1/15,3.338,3.54,2.847,3.834,3.032
11/1/15,3.299,3.576,2.777,3.813,3.031
12/1/15,3.31,3.604,2.887,3.768,3.05
1/1/16,3.313,3.404,3.017,3.744,3
2/1/16,3.23,3.39,2.91,3.671,2.931
3/1/16,3.187,3.304,2.773,3.583,2.952
4/1/16,3.155,3.334,2.687,3.559,2.945
5/1/16,3.157,3.354,2.783,3.505,2.981
6/1/16,3.115,3.354,2.688,3.421,2.973
7/1/16,3.062,3.354,2.579,3.345,2.955
8/1/16,3.141,3.354,2.765,3.375,3.026
9/1/16,3.229,3.354,2.776,3.493,3.167
10/1/16,3.292,3.354,2.807,3.541,3.269
11/1/16,3.28,3.354,2.741,3.517,3.246
12/1/16,3.29,3.354,2.542,3.537,3.36
1/1/17,3.318,3.354,2.519,3.573,3.419
2/1/17,3.3,3.354,2.578,3.538,3.396
3/1/17,3.315,3.354,2.587,3.584,3.366
4/1/17,3.259,3.354,2.496,3.503,3.306
5/1/17,3.242,3.354,2.506,3.435,3.312
6/1/17,3.213,3.354,2.429,3.523,3.179
7/1/17,3.219,3.354,2.466,3.518,3.154
8/1/17,3.168,3.354,2.395,3.459,3.1
9/1/17,3.209,3.354,2.56,3.493,3.1
10/1/17,3.158,3.648,2.4,3.473,3.09
11/1/17,3.15,3.5,2.417,3.458,3.052
12/1/17,3.155,3.613,2.398,3.469,3.041
1/1/18,2.961,3.696,2.093,3.352,2.968
2/1/18,2.923,3.613,2.092,3.301,2.901
3/1/18,2.903,3.59,2.085,3.223,2.961
4/1/18,2.924,3.639,2.087,3.27,2.964
5/1/18,2.919,3.61,2.129,3.223,2.941
6/1/18,2.877,3.57,2.123,3.08,2.914
7/1/18,2.839,3.739,2.094,3.03,2.866
8/1/18,2.871,3.88,2.076,3.152,2.858
9/1/18,2.89,3.905,1.981,3.196,2.928
10/1/18,2.913,3.905,2.019,3.165,2.999
11/1/18,2.877,3.905,1.965,3.192,2.902
12/1/18,2.853,4.119,2,3.085,2.93
1/1/19,2.913,4.038,2.002,3.213,2.945
2/1/19,2.9,3.931,2.048,3.141,2.975
3/1/19,2.944,3.912,2.083,3.207,3.016
4/1/19,2.98,3.978,2.169,3.238,3.009
5/1/19,2.963,3.848,2.199,3.174,2.985
6/1/19,3.054,3.946,2.217,3.315,3.057
7/1/19,3.031,3.971,2.213,3.251,3.066
8/1/19,3.045,3.935,2.223,3.263,3.068
9/1/19,3.102,3.949,2.3,3.353,3.076
10/1/19,3.119,3.981,2.324,3.306,3.217
11/1/19,3.189,3.998,2.469,3.305,3.398
12/1/19,3.188,4.084,2.444,3.229,3.451
1/1/20,3.253,4.151,2.543,3.311,3.444
2/1/20,3.196,4.307,2.456,3.253,3.434
3/1/20,3.248,4.338,2.615,3.269,3.507
4/1/20,3.267,4.588,2.574,3.32,3.503
5/1/20,3.21,4.669,2.574,3.303,3.294
6/1/20,3.198,4.611,2.574,3.257,3.396
7/1/20,3.255,4.565,2.574,3.249,3.494
8/1/20,3.406,4.553,2.574,3.451,3.54
9/1/20,3.448,4.504,2.574,3.519,3.609
10/1/20,3.38,4.504,2.574,3.422,3.466
11/1/20,3.425,4.504,2.574,3.409,3.535
12/1/20,3.535,4.504,2.574,3.531,3.603
1/1/21,3.468,4.504,2.574,3.432,3.552
2/1/21,3.368,4.504,2.574,3.287,3.444
3/1/21,3.348,4.504,2.574,3.271,3.392
4/1/21,3.447,4.504,2.574,3.34,3.616
5/1/21,3.497,4.504,2.574,3.464,3.593
6/1/21,3.557,4.504,2.574,3.518,3.541
7/1/21,3.627,4.504,2.574,3.633,3.611
8/1/21,3.56,4.504,2.574,3.523,3.555
9/1/21,3.585,4.504,2.574,3.537,3.632
10/1/21,3.663,4.504,2.574,3.563,3.861
11/1/21,3.671,4.504,2.574,3.51,3.913
12/1/21,3.743,4.504,2.574,3.601,3.924
1/1/22,3.787,4.504,2.574,3.693,3.979
2/1/22,3.875,4.504,2.574,3.736,4.109
3/1/22,3.917,4.504,2.574,3.763,4.203
4/1/22,4.012,4.504,2.574,3.876,4.189
5/1/22,4.204,4.504,2.574,4.053,4.376
6/1/22,4.153,4.504,2.574,3.96,4.331
7/1/22,4.156,4.504,2.574,3.997,4.383
8/1/22,4.194,4.504,2.574,4.094,4.369
9/1/22,4.181,4.504,2.574,4.076,4.378